2022 Winter,,,,,,,,,,,,,,,,,,,,,,,
"Generated 10/22/2021, 2:27:56 PM",,,,,,,,,,,,,,,,,,,,,,,
,SIS Class Nbr,Term,Term Code,Department Code,Course,Section #,Course Title,Section Type,Meeting Pattern,Instructor,Room,Campus,Consent,Grade Mode,Attributes,Characteristics,Maxi Enrollment,Wait Cap,Room Cap,Combined,Link To,Comments,Notes#1
,21224,2022 Winter,4850,07C30,COMP_SCI 399-0,43,Projects,Independent Study,Does Not Meet,"Dimoulas, Christos (CDZ0547) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,Instructor Consent Required,ABC/K Grading,,,10,0,10,,,,
,21225,2022 Winter,4850,07C30,COMP_SCI 399-0,44,Projects,Independent Study,Does Not Meet,"Van Wart, Sarah (SJW3465) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,Instructor Consent Required,ABC/K Grading,,,10,0,10,,,,
,21226,2022 Winter,4850,07C30,COMP_SCI 399-0,45,Projects,Independent Study,Does Not Meet,"Wang, Xiao (XWW4713) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,Instructor Consent Required,ABC/K Grading,,,10,0,10,,,,
,21233,2022 Winter,4850,07C30,COMP_SCI 399-0,46,Projects,Independent Study,Does Not Meet,"Kay, Matthew [Primary Instructor, Grade]",No Room Needed,Evanston Campus,Instructor Consent Required,ABC/K Grading,,,10,0,10,,,,
,21234,2022 Winter,4850,07C30,COMP_SCI 399-0,47,Projects,Independent Study,Does Not Meet,"Wang, Zhaoran (ZWM7566) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,Instructor Consent Required,ABC/K Grading,,,10,0,10,,,,
,21235,2022 Winter,4850,07C30,COMP_SCI 399-0,48,Projects,Independent Study,Does Not Meet,"Hullman, Jessica (JRH2668) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,Instructor Consent Required,ABC/K Grading,,,10,0,10,,,,
,21236,2022 Winter,4850,07C30,COMP_SCI 399-0,49,Projects,Independent Study,Does Not Meet,"Tarzia, Stephen (SPT175) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,Instructor Consent Required,ABC/K Grading,,,10,0,10,,,,
,21237,2022 Winter,4850,07C30,COMP_SCI 399-0,50,Projects,Independent Study,Does Not Meet,"Ghena, Branden [Primary Instructor, Grade]",No Room Needed,Evanston Campus,Instructor Consent Required,ABC/K Grading,,,10,0,10,,,,
,21238,2022 Winter,4850,07C30,COMP_SCI 399-0,51,Projects,Independent Study,Does Not Meet,"Compton, Katherine [Primary Instructor, Grade]",No Room Needed,Evanston Campus,Instructor Consent Required,ABC/K Grading,,,10,0,10,,,,
,21239,2022 Winter,4850,07C30,COMP_SCI 399-0,52,Projects,Independent Study,Does Not Meet,"Demeter, David (DWJ738) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,Instructor Consent Required,ABC/K Grading,,,10,0,10,,,,
,21240,2022 Winter,4850,07C30,COMP_SCI 399-0,53,Projects,Independent Study,Does Not Meet,"Rao, Shravas (SKR3988) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,Instructor Consent Required,ABC/K Grading,,,10,0,10,,,,
,21241,2022 Winter,4850,07C30,COMP_SCI 399-0,54,Projects,Independent Study,Does Not Meet,"Kay, Matthew [Primary Instructor, Grade]",No Room Needed,Evanston Campus,Instructor Consent Required,ABC/K Grading,,,10,0,10,,,,
,21242,2022 Winter,4850,07C30,COMP_SCI 399-0,55,Projects,Independent Study,Does Not Meet,"Liang, Annie [Primary Instructor, Grade]",No Room Needed,Evanston Campus,Instructor Consent Required,ABC/K Grading,,,10,0,10,,,,
,21243,2022 Winter,4850,07C30,COMP_SCI 399-0,56,Projects,Independent Study,Does Not Meet,"Zubek, Robert (RZU946) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,Instructor Consent Required,ABC/K Grading,,,10,0,10,,,,
COMP_SCI 410-0 - Autonomous Quadrotor Design and Control,,,,,,,,,,,,,,,,,,,,,,,
,29143,2022 Winter,4850,07C30,COMP_SCI 410-0,1,Autonomous Quadrotor Design and Control,Lecture,Th 12:30pm-3:30pm,"Rubenstein, Michael (MRD914) [Primary Instructor, Grade]",Garage Workspace Classroom 1,Evanston Campus,Instructor Consent Required,ABC Grading,,,7,0,14,Also MECH_ENG 410-0-1,,The Garage Workspace,
COMP_SCI 450-0 - Internet Security,,,,,,,,,,,,,,,,,,,,,,,
,29130,2022 Winter,4850,07C30,COMP_SCI 450-0,1,Internet Security,Lecture,MW 9:30am-10:50am,"Chen, Yan (YCH349) [Primary Instructor, Grade]",Frances Searle Building 2107,Evanston Campus,No Special Consent Required,ABC Grading,,Campus: North (1),30,0,55,,,,
COMP_SCI 496-0 - Special Topics in Computer Science,,,,,,,,,,,,,,,,,,,,,,,
,29494,2022 Winter,4850,07C30,COMP_SCI 496-0,2,Special Topics in Computer Science,Seminar,F 2pm-4:50pm,"Makarychev, Konstantin (KMN5122) [Primary Instructor, Grade]",Technological Institute AUD,Evanston Campus,Instructor Consent Required,ABC Grading,,Campus: North (1),20,0,60,Also COMP_SCI 396-0-2,,,
,24391,2022 Winter,4850,07C30,COMP_SCI 496-0,8,Special Topics in Computer Science,Seminar,TTh 2pm-3:20pm,"St Amour, Vincent (VSA173) [Primary Instructor, Grade]",General Purpose Classroom,Evanston Campus,Instructor Consent Required,ABC Grading,,Campus: North (1),10,10,24,Also COMP_SCI 396-0-8,,,
,24385,2022 Winter,4850,07C30,COMP_SCI 496-0,10,Special Topics in Computer Science,Seminar,TTh 9:30am-10:50am,"Wang, Xiao (XWW4713) [Primary Instructor, Grade]",General Purpose Classroom,Evanston Campus,No Special Consent Required,ABC Grading,,Campus: North (1),25,10,55,Also COMP_SCI 396-0-10,,,
,29136,2022 Winter,4850,07C30,COMP_SCI 496-0,11,Special Topics in Computer Science,Seminar,MW 3:30pm-4:50pm,"Rao, Shravas (SKR3988) [Primary Instructor, Grade]",General Purpose Classroom,Evanston Campus,No Special Consent Required,ABC Grading,,Campus: North (1),40,0,40,,,,Prerequisites COMP_SCI 212 or equivalent and linear algebra. COMP_SCI 335 or COMP_SCI 336 are strongly recommended
,29137,2022 Winter,4850,07C30,COMP_SCI 496-0,12,Special Topics in Computer Science,Seminar,TTh 11am-12:20pm,"Vijayaraghavan, Aravindan (AVF717) [Primary Instructor, Grade]",General Purpose Classroom,Evanston Campus,No Special Consent Required,ABC Grading,,Campus: North (1),60,0,60,,,,
,29138,2022 Winter,4850,07C30,COMP_SCI 496-0,13,Special Topics in Computer Science,Seminar,W 2pm-4:50pm,"Wilensky, Uriel (UJW776) [Primary Instructor, Grade]",Annenberg Hall 303,Evanston Campus,Instructor Consent Required,ABC Grading,,Campus: North (1),10,0,40,See LRN_SCI 426-0-20,,Combine with LRN_SCI 426-0 and already have a room in - Annenberg Hall 303,
,29139,2022 Winter,4850,07C30,COMP_SCI 496-0,14,Special Topics in Computer Science,Seminar,MW 3:30pm-4:50pm,"Bustamante, Fabian (FEB788) [Primary Instructor, Grade]",General Purpose Classroom,Evanston Campus,No Special Consent Required,ABC Grading,,Campus: North (1),60,0,60,,,,
,29140,2022 Winter,4850,07C30,COMP_SCI 496-0,15,Special Topics in Computer Science,Seminar,M 2pm-4:50pm,"Kay, Matthew [Primary Instructor, Grade]",Frances Searle Building 2378,Evanston Campus,No Special Consent Required,ABC Grading,General Information: PhD Course,Campus: North (1),15,0,35,Also MTS 525-0-20,,Combine with MTS 525-0-20 and School of Communication room ,PhD students
COMP_SCI 497-0 - Special Projects in Computer Science,,,,,,,,,,,,,,,,,,,,,,,
,24118,2022 Winter,4850,07C30,COMP_SCI 497-0,1,Special Projects in Computer Science,Seminar,Does Not Meet,"Zhang, Haoqi (HZK527) [Primary Instructor, Grade]",Meets in Non-General Purpose Classroom,Evanston Campus,Instructor Consent Required,ABC Grading,,,10,0,20,Also COMP_SCI 315-0-1,,,
,24375,2022 Winter,4850,07C30,COMP_SCI 497-0,2,Special Projects in Computer Science,Seminar,T 2:30pm-5:30pm,"Hammond, Kristian (KJH666) [Primary Instructor, Grade]; Linna, Daniel (DWL5786) [Secondary Instructor, Grade]",General Purpose Classroom,Chicago Campus,Instructor Consent Required,ABC Grading,,Campus: North (1),5,10,30,Also COMP_SCI 397-0-2,,,
,24119,2022 Winter,4850,07C30,COMP_SCI 497-0,3,Special Projects in Computer Science,Seminar,TTh 3:30pm-4:50pm,"Bhagavatula, Sruti [Primary Instructor, Grade]",General Purpose Classroom,Evanston Campus,No Special Consent Required,ABC Grading,,Campus: North (1),20,10,55,Also COMP_SCI 397-0-3,,,Prerequisites: CS150 and 212
,29263,2022 Winter,4850,07C30,COMP_SCI 497-0,4,Special Projects in Computer Science,Seminar,MW 9:30am-10:50am,"Demeter, David (DWJ738) [Primary Instructor, Grade]",Tech Institute Lecture Room 4,Evanston Campus,No Special Consent Required,ABC Grading,,Campus: North (1),60,0,88,,,,Prerequisites: CS-349 or consent of instructor
COMP_SCI 499-0 - Projects,,,,,,,,,,,,,,,,,,,,,,,
,21244,2022 Winter,4850,07C30,COMP_SCI 499-0,1,Projects,Independent Study,Does Not Meet,"Hardavellas, Nikolaos (NHA224) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,Instructor Consent Required,ABC Grading,,,5,0,5,,,,
,21255,2022 Winter,4850,07C30,COMP_SCI 499-0,2,Projects,Independent Study,Does Not Meet,"Campanoni, Simone (SCP493) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,Instructor Consent Required,ABC Grading,,,5,0,5,,,,
,21266,2022 Winter,4850,07C30,COMP_SCI 499-0,3,Projects,Independent Study,Does Not Meet,"Birnbaum, Lawrence (LAB794) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,Instructor Consent Required,ABC Grading,,,5,0,5,,,,
,21277,2022 Winter,4850,07C30,COMP_SCI 499-0,4,Projects,Independent Study,Does Not Meet,"Bustamante, Fabian (FEB788) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,Instructor Consent Required,ABC Grading,,,5,0,5,,,,
,21284,2022 Winter,4850,07C30,COMP_SCI 499-0,5,Projects,Independent Study,Does Not Meet,"Zhang, Haoqi (HZK527) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,Instructor Consent Required,ABC Grading,,,10,0,10,,,,
,21285,2022 Winter,4850,07C30,COMP_SCI 499-0,6,Projects,Independent Study,Does Not Meet,"Horn, Michael (MSH801) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,Instructor Consent Required,ABC Grading,,,5,0,5,,,,
,21286,2022 Winter,4850,07C30,COMP_SCI 499-0,7,Projects,Independent Study,Does Not Meet,"Hester, Josiah (JDH9195) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,No Special Consent Required,ABC Grading,,,5,0,5,,,,
,21287,2022 Winter,4850,07C30,COMP_SCI 499-0,8,Projects,Independent Study,Does Not Meet,"Makarychev, Konstantin (KMN5122) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,Instructor Consent Required,ABC Grading,,,5,0,5,,,,
,21288,2022 Winter,4850,07C30,COMP_SCI 499-0,9,Projects,Independent Study,Does Not Meet,"Forbus, Kenneth (FORBUS) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,Instructor Consent Required,ABC Grading,,,5,0,5,,,,
,21245,2022 Winter,4850,07C30,COMP_SCI 499-0,10,Projects,Independent Study,Does Not Meet,"Downey, Douglas (DCD190) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,Instructor Consent Required,ABC Grading,,,5,0,5,,,,
,21246,2022 Winter,4850,07C30,COMP_SCI 499-0,11,Projects,Independent Study,Does Not Meet,"Findler, Robert (RFI310) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,Instructor Consent Required,ABC Grading,,,5,0,10,,,,
,21247,2022 Winter,4850,07C30,COMP_SCI 499-0,12,Projects,Independent Study,Does Not Meet,"St Amour, Vincent (VSA173) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,Instructor Consent Required,ABC Grading,,,5,0,5,,,,
,21248,2022 Winter,4850,07C30,COMP_SCI 499-0,13,Projects,Independent Study,Does Not Meet,"Dinda, Peter (PAD706) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,Instructor Consent Required,ABC Grading,,,5,0,5,,,,
,21249,2022 Winter,4850,07C30,COMP_SCI 499-0,14,Projects,Independent Study,Does Not Meet,"Chen, Yan (YCH349) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,Instructor Consent Required,ABC Grading,,,5,0,5,,,,
,21250,2022 Winter,4850,07C30,COMP_SCI 499-0,15,Projects,Independent Study,Does Not Meet,"Hammond, Kristian (KJH666) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,Instructor Consent Required,ABC Grading,,,5,0,5,,,,
,21251,2022 Winter,4850,07C30,COMP_SCI 499-0,16,Projects,Independent Study,Does Not Meet,"Horswill, Ian (IDH377) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,Instructor Consent Required,ABC Grading,,,5,0,5,,,,
,21252,2022 Winter,4850,07C30,COMP_SCI 499-0,17,Projects,Independent Study,Does Not Meet,"Joseph, Russell (REJ116) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,Instructor Consent Required,ABC Grading,,,5,0,5,,,,
,21253,2022 Winter,4850,07C30,COMP_SCI 499-0,18,Projects,Independent Study,Does Not Meet,"Kao, Ming-Yang (MKA741) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,Instructor Consent Required,ABC Grading,,,5,0,5,,,,
,21254,2022 Winter,4850,07C30,COMP_SCI 499-0,19,Projects,Independent Study,Does Not Meet,"Kuzmanovic, Aleksandar (AKUZMA) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,Instructor Consent Required,ABC Grading,,,5,0,5,,,,
,21256,2022 Winter,4850,07C30,COMP_SCI 499-0,20,Projects,Independent Study,Does Not Meet,"Memik, Gokhan (GME657) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,Instructor Consent Required,ABC Grading,,,5,0,5,,,,
,21257,2022 Winter,4850,07C30,COMP_SCI 499-0,21,Projects,Independent Study,Does Not Meet,"Pardo, Bryan (BAP335) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,Instructor Consent Required,ABC Grading,,,5,0,5,,,,
,21258,2022 Winter,4850,07C30,COMP_SCI 499-0,22,Projects,Independent Study,Does Not Meet,"Owsley, Sara (SHO533) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,Instructor Consent Required,ABC Grading,,,5,0,5,,,,
,21259,2022 Winter,4850,07C30,COMP_SCI 499-0,23,Projects,Independent Study,Does Not Meet,"Riesbeck, Christopher (CKR427) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,Instructor Consent Required,ABC Grading,,,5,0,5,,,,
,21260,2022 Winter,4850,07C30,COMP_SCI 499-0,24,Projects,Independent Study,Does Not Meet,"Hartline, Jason (JDH734) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,Instructor Consent Required,ABC Grading,,,5,0,5,,,,
,21261,2022 Winter,4850,07C30,COMP_SCI 499-0,25,Projects,Independent Study,Does Not Meet,"Gergle, Darren (DGP461) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,Instructor Consent Required,ABC Grading,,,5,0,5,,,,
,21262,2022 Winter,4850,07C30,COMP_SCI 499-0,26,Projects,Independent Study,Does Not Meet,"Birnholtz, Jeremy (JPB548) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,Instructor Consent Required,ABC Grading,,,5,0,5,,,,
,21263,2022 Winter,4850,07C30,COMP_SCI 499-0,27,Projects,Independent Study,Does Not Meet,"Cossairt, Oliver (OSC156) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,Instructor Consent Required,ABC Grading,,,5,0,5,,,,
,21264,2022 Winter,4850,07C30,COMP_SCI 499-0,28,Projects,Independent Study,Does Not Meet,"Tumblin, John (JET861) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,Instructor Consent Required,ABC Grading,,,5,0,5,,,,
,21265,2022 Winter,4850,07C30,COMP_SCI 499-0,29,Projects,Independent Study,Does Not Meet,"Wilensky, Uriel (UJW776) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,Instructor Consent Required,ABC Grading,,,5,0,5,,,,
,21267,2022 Winter,4850,07C30,COMP_SCI 499-0,30,Projects,Independent Study,Does Not Meet,"Argall, Brenna (BDA924) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,Instructor Consent Required,ABC Grading,,,5,0,5,,,,
,21268,2022 Winter,4850,07C30,COMP_SCI 499-0,31,Projects,Independent Study,Does Not Meet,"Rogers, Jennie (JMD730) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,Instructor Consent Required,ABC Grading,,,5,0,5,,,,
,21269,2022 Winter,4850,07C30,COMP_SCI 499-0,32,Projects,Independent Study,Does Not Meet,"Rubenstein, Michael (MRD914) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,Instructor Consent Required,ABC Grading,,,5,0,5,,,,
,21270,2022 Winter,4850,07C30,COMP_SCI 499-0,33,Projects,Independent Study,Does Not Meet,"Vijayaraghavan, Aravindan (AVF717) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,Instructor Consent Required,ABC Grading,,,5,0,5,,,,
,21271,2022 Winter,4850,07C30,COMP_SCI 499-0,34,Projects,Independent Study,Does Not Meet,"Khuller, Samir (SKL1452) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,Instructor Consent Required,ABC Grading,,,5,0,5,,,,
,21272,2022 Winter,4850,07C30,COMP_SCI 499-0,35,Projects,Independent Study,Does Not Meet,"Alshurafa, Nabil (NIA639) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,Instructor Consent Required,ABC Grading,,,5,0,5,,,,
,21273,2022 Winter,4850,07C30,COMP_SCI 499-0,36,Projects,Independent Study,Does Not Meet,"Piper, Anne Marie (AMH891) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,Instructor Consent Required,ABC Grading,,,5,0,5,,,,
,21274,2022 Winter,4850,07C30,COMP_SCI 499-0,37,Projects,Independent Study,Does Not Meet,"O'Rourke, Eleanor (EMO4180) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,Instructor Consent Required,ABC Grading,,,5,0,5,,,,
,21275,2022 Winter,4850,07C30,COMP_SCI 499-0,38,Projects,Independent Study,Does Not Meet,"Memik, Fatma (FSO745) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,Instructor Consent Required,ABC Grading,,,5,0,5,,,,
,21276,2022 Winter,4850,07C30,COMP_SCI 499-0,39,Projects,Independent Study,Does Not Meet,"Worsley, Marcelo (MAW7434) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,Instructor Consent Required,ABC Grading,,,5,0,5,,,,
,21278,2022 Winter,4850,07C30,COMP_SCI 499-0,40,Projects,Independent Study,Does Not Meet,"Tov, Jesse (JAT489) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,Instructor Consent Required,ABC Grading,,,5,0,5,,,,
,21279,2022 Winter,4850,07C30,COMP_SCI 499-0,41,Projects,Independent Study,Does Not Meet,"Liu, Han (HLW3876) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,Instructor Consent Required,ABC Grading,,,5,0,5,,,,
,21280,2022 Winter,4850,07C30,COMP_SCI 499-0,42,Projects,Independent Study,Does Not Meet,"Warren, Todd (TWA122) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,Instructor Consent Required,ABC Grading,,,5,0,5,,,,
,21281,2022 Winter,4850,07C30,COMP_SCI 499-0,43,Projects,Independent Study,Does Not Meet,"Dimoulas, Christos (CDZ0547) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,Instructor Consent Required,ABC Grading,,,5,0,5,,,,
,21282,2022 Winter,4850,07C30,COMP_SCI 499-0,44,Projects,Independent Study,Does Not Meet,"Van Wart, Sarah (SJW3465) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,Instructor Consent Required,ABC Grading,,,5,0,5,,,,
,21283,2022 Winter,4850,07C30,COMP_SCI 499-0,45,Projects,Independent Study,Does Not Meet,"Wang, Xiao (XWW4713) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,Instructor Consent Required,ABC Grading,,,5,0,5,,,,
,21289,2022 Winter,4850,07C30,COMP_SCI 499-0,46,Projects,Independent Study,Does Not Meet,"Kay, Matthew [Primary Instructor, Grade]",No Room Needed,Evanston Campus,Instructor Consent Required,ABC Grading,,,5,0,5,,,,
,21290,2022 Winter,4850,07C30,COMP_SCI 499-0,47,Projects,Independent Study,Does Not Meet,"Wang, Zhaoran (ZWM7566) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,Instructor Consent Required,ABC Grading,,,5,0,5,,,,
,21292,2022 Winter,4850,07C30,COMP_SCI 499-0,48,Projects,Independent Study,Does Not Meet,"Hullman, Jessica (JRH2668) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,Instructor Consent Required,ABC Grading,,,5,0,5,,,,
,21291,2022 Winter,4850,07C30,COMP_SCI 499-0,49,Projects,Independent Study,Does Not Meet,"Tarzia, Stephen (SPT175) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,Instructor Consent Required,ABC Grading,,,5,0,5,,,,
,21293,2022 Winter,4850,07C30,COMP_SCI 499-0,50,Projects,Independent Study,Does Not Meet,"Ghena, Branden [Primary Instructor, Grade]",No Room Needed,Evanston Campus,Instructor Consent Required,ABC Grading,,,5,0,5,,,,
,21294,2022 Winter,4850,07C30,COMP_SCI 499-0,51,Projects,Independent Study,Does Not Meet,"Wang, Xiao (XWW4713) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,Instructor Consent Required,ABC Grading,,,5,0,5,,,,
,21295,2022 Winter,4850,07C30,COMP_SCI 499-0,52,Projects,Independent Study,Does Not Meet,"Demeter, David (DWJ738) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,Instructor Consent Required,ABC Grading,,,5,0,5,,,,
,21296,2022 Winter,4850,07C30,COMP_SCI 499-0,53,Projects,Independent Study,Does Not Meet,"Easterday, Matthew (MWE517) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,Instructor Consent Required,ABC Grading,,,5,0,5,,,,
,21297,2022 Winter,4850,07C30,COMP_SCI 499-0,55,Projects,Independent Study,Does Not Meet,"Liang, Annie [Primary Instructor, Grade]",No Room Needed,Evanston Campus,Instructor Consent Required,ABC Grading,,,5,0,5,,,,
,21298,2022 Winter,4850,07C30,COMP_SCI 499-0,56,Projects,Independent Study,Does Not Meet,"Vijayaraghavan, Aravindan (AVF717) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,Instructor Consent Required,ABC Grading,,,5,0,5,,,,
COMP_SCI 590-0 - Research,,,,,,,,,,,,,,,,,,,,,,,
,21299,2022 Winter,4850,07C30,COMP_SCI 590-0,1,Research,Thesis Research,Does Not Meet,"Hardavellas, Nikolaos (NHA224) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,No Special Consent Required,Pass/Not Pass/In progress,,,25,0,25,,,,
,21310,2022 Winter,4850,07C30,COMP_SCI 590-0,2,Research,Thesis Research,Does Not Meet,"Campanoni, Simone (SCP493) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,Instructor Consent Required,Pass/Not Pass/In progress,,,25,0,25,,,,
,21321,2022 Winter,4850,07C30,COMP_SCI 590-0,3,Research,Thesis Research,Does Not Meet,"Birnbaum, Lawrence (LAB794) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,No Special Consent Required,Pass/Not Pass/In progress,,,25,0,25,,,,
,21332,2022 Winter,4850,07C30,COMP_SCI 590-0,4,Research,Thesis Research,Does Not Meet,"Bustamante, Fabian (FEB788) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,No Special Consent Required,Pass/Not Pass/In progress,,,25,0,25,,,,
,21339,2022 Winter,4850,07C30,COMP_SCI 590-0,5,Research,Thesis Research,Does Not Meet,"Zhang, Haoqi (HZK527) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,Instructor Consent Required,Pass/Not Pass/In progress,,,25,0,25,,,,
,21340,2022 Winter,4850,07C30,COMP_SCI 590-0,6,Research,Thesis Research,Does Not Meet,"Horn, Michael (MSH801) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,No Special Consent Required,Pass/Not Pass/In progress,,,25,0,25,,,,
,21341,2022 Winter,4850,07C30,COMP_SCI 590-0,7,Research,Thesis Research,Does Not Meet,"Hester, Josiah (JDH9195) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,No Special Consent Required,Pass/Not Pass/In progress,,,25,0,25,,,,
,21342,2022 Winter,4850,07C30,COMP_SCI 590-0,8,Research,Thesis Research,Does Not Meet,"Makarychev, Konstantin (KMN5122) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,No Special Consent Required,Pass/Not Pass/In progress,,,25,0,25,,,,
,21343,2022 Winter,4850,07C30,COMP_SCI 590-0,9,Research,Thesis Research,Does Not Meet,"Forbus, Kenneth (FORBUS) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,No Special Consent Required,Pass/Not Pass/In progress,,,25,0,25,,,,
,21300,2022 Winter,4850,07C30,COMP_SCI 590-0,10,Research,Thesis Research,Does Not Meet,"Downey, Douglas (DCD190) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,No Special Consent Required,Pass/Not Pass/In progress,,,25,0,25,,,,
,21301,2022 Winter,4850,07C30,COMP_SCI 590-0,11,Research,Thesis Research,Does Not Meet,"Findler, Robert (RFI310) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,No Special Consent Required,Pass/Not Pass/In progress,,,25,0,25,,,,
,21302,2022 Winter,4850,07C30,COMP_SCI 590-0,12,Research,Thesis Research,Does Not Meet,"St Amour, Vincent (VSA173) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,No Special Consent Required,Pass/Not Pass/In progress,,,25,0,25,,,,
,21303,2022 Winter,4850,07C30,COMP_SCI 590-0,13,Research,Thesis Research,Does Not Meet,"Dinda, Peter (PAD706) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,No Special Consent Required,Pass/Not Pass/In progress,,,25,0,25,,,,
,21304,2022 Winter,4850,07C30,COMP_SCI 590-0,14,Research,Thesis Research,Does Not Meet,"Chen, Yan (YCH349) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,No Special Consent Required,Pass/Not Pass/In progress,,,25,0,25,,,,
,21305,2022 Winter,4850,07C30,COMP_SCI 590-0,15,Research,Thesis Research,Does Not Meet,"Hammond, Kristian (KJH666) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,No Special Consent Required,Pass/Not Pass/In progress,,,25,0,25,,,,
,21306,2022 Winter,4850,07C30,COMP_SCI 590-0,16,Research,Thesis Research,Does Not Meet,"Horswill, Ian (IDH377) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,No Special Consent Required,Pass/Not Pass/In progress,,,25,0,25,,,,
,21307,2022 Winter,4850,07C30,COMP_SCI 590-0,17,Research,Thesis Research,Does Not Meet,"Joseph, Russell (REJ116) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,No Special Consent Required,Pass/Not Pass/In progress,,,25,0,25,,,,
,21308,2022 Winter,4850,07C30,COMP_SCI 590-0,18,Research,Thesis Research,Does Not Meet,"Kao, Ming-Yang (MKA741) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,No Special Consent Required,Pass/Not Pass/In progress,,,25,0,25,,,,
,21309,2022 Winter,4850,07C30,COMP_SCI 590-0,19,Research,Thesis Research,Does Not Meet,"Kuzmanovic, Aleksandar (AKUZMA) [Primary Instructor, Grade]",No Room Needed,Evanston Campus,No Special Consent Required,Pass/Not Pass/In progress,,,25,0,25,,,,
